FWC CONSTANT T_ALERTE LIST;CONSTANT BLOCK: CST_ALERTE;DATE: 2020/12/02_11:35:15;VARIANTE: ;ISSUE: ;;;;;;;;;;;;;;;;;
NAME;IDALERTE;PRIORITY;TITLE;TYPE;SUBTYPE;Spare CLR;Spare RCL;C;EC;FLIGHTPHASE;TD;Sound;SynthVoice;Hybride;SystPage;ML;Msg Spare;Msg CMF Compute;Msg CMF Display;Msg Classe4;CL Phase
FWAL_21_61_620;2161W620;893;COND HOT AIR 2 FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_61_710;2161W710;667;COND DUCT OVHT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXXD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_62_020;2162W020;1074;COND FWD CARGO TEMP REGUL FAULT;INDEPENDENT;LEVEL_1;;;;EC;12XXXXX8XXXCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;COND;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_62_050;2162W050;748;COND BULK CARGO DUCT OVHT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.00;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_62_060;2162W060;1073;COND BULK CARGO HEATER FAULT;INDEPENDENT;LEVEL_1;;;;EC;12XXXXX8XXXXD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;COND;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_00_100;2200W100;63;ALTITUDE ALERT;INDEPENDENT;LEVEL_3;;;C;EC;1XXXXX789XXXX;0.00;C_CHORD;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_10_020;2210W020;3;AP OFF (VOLONTARY) (SUPER MEMO);INDEPENDENT;LEVEL_3;;;;EC;123456789ABCD;0.00;CAVALRY_CH_VOL;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;WARN;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_10_040;2210W040;2;AUTO FLT AP OFF (UNVOLONTARY);INDEPENDENT;LEVEL_3;;;;EC;123456789ABCD;0.00;CAVALRY_CH;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;WARN;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_10_050;2210M050;8;AP OFF (PFD MEMO);MEMO;PFD;;;;;123456789ABCD;0.00;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_22_10_060;2210M060;7;AP OFF (MEMO);MEMO;WD_RIGHT;;;;;123456789ABCD;0.00;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_22_10_100;2210W100;382;AUTO FLT ROLLOUT FAULT;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX89ABCX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_10_120;2210W120;896;AUTO FLT AUTO EMER DES FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_10_130;2210W130;16;AUTO FLT EMER DESCENT;INDEPENDENT;LEVEL_3;CLR;;C;EC;1XXXXXX8XXXXD;0.00;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_10_150;2210W150;381;AUTO FLT TCAS MODE FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXX78XXXXD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_10_300;2210W300;497;AUTO FLT LIMITED;INDEPENDENT;LEVEL_2;;;C;EC;X2XXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_13_200;2213W200;373;NAV LS TUNING DISAGREE;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX89XXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_13_300;2213W300;230;CHECK FMA (TRIPLE CLICK);INDEPENDENT;LEVEL_2;;;;EC;1XXXX6789ABCX;0.60;CLICK;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_13_750;2213W750;895;AUTO FLT APPROACH CAPABILITY DOWNGRADED;INDEPENDENT;LEVEL_2;;;C;EC;X2XXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_30_020;2230W020;213;A/THR OFF (VOLONTARY) (SUPER MEMO);INDEPENDENT;LEVEL_2;;;C;EC;12XXXX789XBCD;0.00;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_30_030;2230M030;10;A/THR OFF (PFD MEMO);MEMO;PFD;;;;;12XXXX789XBCD;0.00;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_22_30_040;2230W040;208;AUTO FLT A/THR OFF (UNVOLONTARY);INDEPENDENT;LEVEL_2;;;C;EC;12XXXX789XBCD;0.00;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_30_100;2230M100;9;A/THR OFF (MEMO);MEMO;WD_RIGHT;;;;;12XXXX789XBCD;0.00;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_22_30_110;2230W110;397;AUTO FLT A/THR LIMITED;INDEPENDENT;LEVEL_2;;;C;EC;1XXXXX789XXXD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_30_120;2230W120;897;ENG GA SOFT FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
